target,r2_p14,r2_v21,delta,alpha,w_sib,sib_only_r2,gate1,gate2_soft,gate2_strong,gate3,pass
eea,0.9065307941874742,0.9052825829237898,-0.0012482112636843512,2.5,0.06337683173118622,0.6901653808233166,,,,,
egb,0.9286537931349466,0.9297225337479054,0.0010687406129588073,5.0,0.17937167748886793,0.870553510333552,,,,,
egc,0.9070043119491059,0.9075452800459514,0.0005409680968454511,10.0,-0.07011577313198976,0.7120383363038993,,,,,
ei,0.8113930991084978,0.813192458685277,0.0017993595767792359,10.0,0.19719490625155434,0.6726844348220129,,,,,
eps,0.7561112198839619,0.7573277213695087,0.0012165014855467504,10.0,0.17323240354162098,0.6145064455479035,,,,,
nc,0.8388318987839419,0.8376294790276124,-0.0012024197563295091,0.5,0.20110245488607434,0.7340663830793929,,,,,
tg,0.9016770482182669,0.9018190408412099,0.00014199262294301018,25.0,-0.035693087409237816,0.4846263088053284,,,,,
mean,0.8643145950380279,0.8646455852344649,0.0003309901964370564,,,,,,,,
VERDICT,,,0.0003309901964370564,,,,0.0,False,False,True,False
