iter	RMSE
0	107.3603701
1	105.4534153
2	103.5774293
3	101.6550503
4	99.90398634
5	98.23892375
6	96.52254081
7	94.80123365
8	93.17748076
9	91.56764976
10	90.03290299
11	88.43943902
12	86.95522544
13	85.61825512
14	84.25726434
15	82.83433811
16	81.63410636
17	80.41741132
18	79.22375485
19	78.05480613
20	77.13911917
21	76.07311315
22	75.03883431
23	73.96352993
24	73.04198029
25	72.13551203
26	71.1662985
27	70.25926751
28	69.39919207
29	68.55146597
30	67.74836667
31	66.99234291
32	66.29047361
33	65.65494249
34	65.02572071
35	64.31422043
36	63.6987482
37	63.12288808
38	62.54009195
39	61.95593572
40	61.36815396
41	60.84913668
42	60.34513472
43	59.84160312
44	59.38786373
45	58.96254935
46	58.52383606
47	58.06745242
48	57.5574405
49	57.19301639
50	56.77853388
51	56.32712332
52	55.95439314
53	55.5953446
54	55.21218373
55	54.85012161
56	54.46432928
57	54.16722264
58	53.86740192
59	53.53189228
60	53.23817701
61	52.94444737
62	52.71615225
63	52.39673492
64	52.10044901
65	51.82628767
66	51.55298304
67	51.29964193
68	51.04935767
69	50.82206678
70	50.59141748
71	50.35011034
72	50.14017207
73	49.91920074
74	49.67575536
75	49.48718812
76	49.23530886
77	49.01126648
78	48.82523327
79	48.66422726
80	48.4919438
81	48.31270539
82	48.12926369
83	47.9791078
84	47.83124632
85	47.64511005
86	47.50707274
87	47.29825847
88	47.16094926
89	46.9415805
90	46.8064715
91	46.65852229
92	46.51895161
93	46.36793454
94	46.21863421
95	46.1251118
96	46.01135558
97	45.92305532
98	45.80995426
99	45.70183654
100	45.57167805
101	45.45557343
102	45.33903689
103	45.22582786
104	45.10985853
105	44.99027506
106	44.89923047
107	44.81661886
108	44.75086238
109	44.65437016
110	44.54133467
111	44.44412801
112	44.30366043
113	44.18386475
114	44.07196513
115	43.96650689
116	43.86498155
117	43.77560914
118	43.70970441
119	43.63931786
120	43.55384232
121	43.47757764
122	43.40278725
123	43.30937422
124	43.22168512
125	43.14898673
126	43.06811807
127	43.00049518
128	42.89274372
129	42.82905598
130	42.74692343
131	42.70414217
132	42.61842248
133	42.52284588
134	42.44064057
135	42.33540283
136	42.26820823
137	42.24387399
138	42.16131882
139	42.07954296
140	42.0328851
141	41.96750182
142	41.88685299
143	41.82481262
144	41.78152192
145	41.75475334
146	41.68703711
147	41.62665234
148	41.5542643
149	41.48608351
150	41.42877967
151	41.36026577
152	41.29851808
153	41.27158798
154	41.21498814
155	41.16079157
156	41.11014606
157	41.0712414
158	41.02865959
159	40.97351489
160	40.89447864
161	40.84921317
162	40.78953697
163	40.73730137
164	40.67603554
165	40.61226441
166	40.56704571
167	40.50489406
168	40.46644087
169	40.44371296
170	40.41643263
171	40.37743217
172	40.34663416
173	40.30932461
174	40.26441596
175	40.21516485
176	40.16454469
177	40.13283395
178	40.08174799
179	40.04190675
180	40.01739282
181	39.9708567
182	39.90865874
183	39.86532467
184	39.82592007
185	39.80549631
186	39.76579531
187	39.72620204
188	39.65531583
189	39.6288579
190	39.56581119
191	39.51687717
192	39.5043791
193	39.46123302
194	39.42389672
195	39.38721616
196	39.34066109
197	39.29708538
198	39.25322722
199	39.22366053
200	39.18663952
201	39.16484058
202	39.13148897
203	39.09751077
204	39.05690328
205	39.02794104
206	38.98562049
207	38.94486171
208	38.90406693
209	38.84740279
210	38.80429522
211	38.77876642
212	38.74691874
213	38.70497073
214	38.66719234
215	38.61588314
216	38.57152727
217	38.54436482
218	38.51112608
219	38.48580434
220	38.44820637
221	38.41250795
222	38.38993674
223	38.3582414
224	38.32387843
225	38.2954213
226	38.25184439
227	38.19778162
228	38.17863648
229	38.13100281
230	38.09851909
231	38.06259443
232	38.02836201
233	37.96067824
234	37.9350087
235	37.90302509
236	37.85294925
237	37.81756086
238	37.78529289
239	37.74836124
240	37.73174364
241	37.67745465
242	37.64148532
243	37.62675993
244	37.57880639
245	37.54136078
