target,alpha,blend,GBM,GNN,w_GBM,w_GNN
eea,5.0,0.8413,0.8424,0.7493,0.7017,0.3754
egb,25.0,0.8549,0.8663,0.7348,0.7643,0.2903
egc,2.5,0.8852,0.8855,0.6506,0.9932,0.0061
ei,25.0,0.674,0.7241,0.6033,0.5771,0.3269
eps,5.0,0.6692,0.6602,0.3947,0.7528,0.2633
nc,1.0,0.6517,0.6782,0.6517,0.5885,0.4261
tg,1.0,0.8898,0.8899,0.682,0.9837,0.0223
