,tg,egc,egb,eps,nc,ei,eea
lgb,33.8303,0.4882,0.6777,0.5539,0.0993,0.475,0.4024
cat,36.5358,0.5042,0.6545,0.534,0.1023,0.4664,0.4138
xgb,34.5273,0.4785,0.6925,0.5818,0.1022,0.5065,0.4364
hgb,34.8911,0.5129,0.6925,0.5739,0.1111,0.501,0.4111
