target,real_count,pseudo_count,base_rmse,pseudo_rmse,delta
tg,4140,8280,33.8302989598275,32.57669174630382,-1.2536072135236793
egc,2028,4056,0.488173252397709,0.4475016516028506,-0.040671600794858376
egb,337,674,0.6777229434228643,0.6288605980806105,-0.048862345342253866
eps,229,458,0.5538837288447294,0.514357011243662,-0.03952671760106741
nc,229,458,0.0992861078902576,0.09371568223754789,-0.00557042565270971
ei,222,444,0.47503517936702006,0.4477389172302215,-0.027296262136798533
eea,221,442,0.40244670789682685,0.4055256390020775,0.0030789311052506485
