target,blend,GBM,GNN,w_GBM,w_GNN
eea,0.9092,0.8798,0.8844,0.4453,0.612
egb,0.9184,0.8909,0.9092,0.3916,0.6349
egc,0.9009,0.8959,0.8653,0.7055,0.3256
ei,0.8147,0.8073,0.7834,0.634,0.3853
eps,0.7774,0.7421,0.7616,0.4512,0.5895
nc,0.8295,0.7933,0.824,0.4389,0.5408
tg,0.8967,0.8953,0.8504,0.8351,0.1782
