target,alpha,blend,GBM,GNN,w_GBM,w_GNN
eea,10.0,0.8177,0.8413,0.6206,0.7584,0.2586
egb,5.0,0.8658,0.869,0.6543,0.8423,0.2094
egc,5.0,0.8838,0.8844,0.5539,0.9797,0.0309
ei,25.0,0.6417,0.7238,0.4606,0.6678,0.2531
eps,2.5,0.6875,0.656,0.3896,0.7481,0.4117
nc,1.0,0.6474,0.6784,0.5041,0.6573,0.4525
tg,25.0,0.8855,0.8872,0.548,0.9885,0.0193
