,tg,egc,egb,eps,nc,ei,eea
tg,0,2,0,0,0,0,0
egc,2,0,39,15,14,13,13
egb,0,39,0,62,74,61,49
eps,0,15,62,0,74,57,66
nc,0,14,74,74,0,63,65
ei,0,13,61,57,63,0,57
eea,0,13,49,66,65,57,0
