target,covered_n,v14_blend,v16_blend,delta,per_target_pass
eea,196,0.8364818350996027,0.8435630815515681,0.007081246451965395,True
egb,260,0.8807289492545575,0.9079435211546842,0.02721457190012677,True
egc,201,0.8474789762425504,0.8474777661887536,-1.210053796829591e-06,True
ei,196,0.7342690232803937,0.7608071502418778,0.026538126961484165,True
eps,208,0.674514334147969,0.7294594911829848,0.05494515703501579,True
nc,205,0.6938385404766565,0.7806983636153813,0.08685982313872476,True
tg,31,0.7464252139283676,0.780533646448815,0.034108432520447374,True
