target,r2_p14,r2_v20,delta,alpha
eea,0.9065307941874742,0.9064123528251291,-0.00011844136234506752,1.0
egb,0.9286537931349466,0.9287484372095215,9.46440745749344e-05,2.5
egc,0.9070043119491059,0.9078562324392849,0.0008519204901790145,5.0
ei,0.8113930991084978,0.8112899444555607,-0.00010315465293708748,10.0
eps,0.7561112198839619,0.7554806642635592,-0.0006305556204027063,10.0
nc,0.8388318987839419,0.8355106744891846,-0.003321224294757341,0.5
tg,0.9016770482182669,0.9018465774006695,0.00016952918240265014,25.0
mean,0.8643145950380279,0.8638778404404156,-0.00043675459761227664,
