,tg,egc,egb,eps,nc,ei,eea
lgb,42.6623,0.6365,0.7878,0.6149,0.1215,0.5332,0.4968
cat,45.0387,0.698,0.8738,0.6577,0.1271,0.5898,0.5395
xgb,42.2544,0.6236,0.8052,0.6207,0.12,0.5423,0.4864
hgb,41.3707,0.6244,0.7887,0.6067,0.1194,0.5412,0.4853
