target,gbm_stack_oof,mtgnn_oof
eea,0.8841,0.8905
egb,0.8916,0.9282
egc,0.9013,0.8794
ei,0.7988,0.783
eps,0.728,0.7499
nc,0.8005,0.8366
tg,0.9003,0.862
