,GBM only,GNN only,Retr only,GBM+GNN,GBM+Retr,GNN+Retr,GBM+GNN+Retr
eea,0.8772,0.8785,0.7814,0.9051,0.8816,0.8923,0.9056
egb,0.888,0.9186,0.8102,0.9216,0.888,0.9182,0.9209
egc,0.8955,0.875,0.8384,0.9019,0.8966,0.8828,0.9019
ei,0.8059,0.778,0.7249,0.8158,0.7999,0.7822,0.8085
eps,0.7292,0.7464,0.6315,0.7693,0.7325,0.7563,0.7687
nc,0.7688,0.8144,0.7133,0.8319,0.7786,0.8263,0.8301
tg,0.8947,0.8541,0.8601,0.8968,0.8981,0.8806,0.8991
mean,0.837,0.8379,0.7657,0.8632,0.8393,0.8484,0.8621
