target,blend,GBM,GNN,w_GBM,w_GNN
eea,0.9051,0.8798,0.8784,0.5079,0.5422
egb,0.9216,0.8909,0.9207,0.2741,0.7422
egc,0.9019,0.8959,0.8738,0.674,0.3552
ei,0.8158,0.8073,0.7787,0.6306,0.3754
eps,0.7693,0.7421,0.7509,0.4844,0.5528
nc,0.8319,0.7933,0.8106,0.4061,0.5218
tg,0.8968,0.8953,0.8542,0.8243,0.1871
