target,alpha,blend,GBM,GNN,w_GBM,w_GNN
eea,0.1,0.9151,0.8803,0.9001,0.3738,0.7002
egb,1.0,0.9224,0.8835,0.9218,0.2051,0.8311
egc,25.0,0.9033,0.8966,0.8787,0.6233,0.4026
ei,5.0,0.8248,0.8075,0.8029,0.4965,0.4902
eps,5.0,0.7749,0.7361,0.761,0.4472,0.6036
nc,0.1,0.8417,0.7956,0.844,0.3191,0.6839
tg,5.0,0.9003,0.8983,0.8623,0.8078,0.2099
