target,scratch_oof,scratch_trust,pretrain_oof,pretrain_trust,delta_oof
tg,0.633030874126095,0.6255958937444512,0.6116845108488901,0.6244089254582205,-0.02134636327720496
egc,0.6156836142258156,0.5692164223999966,0.49386133877993643,0.4888046541313791,-0.1218222754458792
egb,0.5683064118885294,0.5565048930185086,0.43583030787837507,0.5048541024864777,-0.1324761040101543
eps,0.20417678399117145,-0.0009356225835521759,0.10747347542102781,-0.508179589471162,-0.09670330857014364
nc,0.5650458433762658,0.682241806689255,0.4307412521451204,0.5173780954634497,-0.13430459123114546
ei,0.5495637541423947,0.5011165535438955,0.49808627917293236,0.46284552761328457,-0.05147747496946231
eea,0.3879543732580494,0.26211286468844985,0.48642374759204865,0.4594587153927139,0.09846937433399927
