target,GBM,m2,m3,stack,floor
eea,0.8562,0.6406,0.6118,0.8471,0.8562
egb,0.8446,0.8003,0.7945,0.8528,0.8446
egc,0.8621,0.8276,0.8259,0.8692,0.8621
ei,0.7081,0.6801,0.6867,0.71,0.7081
eps,0.6726,0.6067,0.589,0.6921,0.6726
nc,0.7386,0.6768,0.6675,0.7138,0.7386
tg,0.8852,0.8404,0.8447,0.8866,0.8852
